,data,preco_lucro,preco_vpa,preco_receita_liquida,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,preco_ncav,ev_ebit,ev_ebitda,ev_receita_liquida,ev_fco,ev_fcf,ev_atito_total,market_cap_empresa,enterprise_value,dividend_yield,tic
0,30/09/2024,,,,,,,,,,,,,,,,199180.0,182770.0,,ABEV3
1,30/06/2024,,,,,,,,,,,,,,,,184990.0,174300.0,,ABEV3
2,31/03/2024,,,,,,,,,,,,,,,,191770.0,182740.0,,ABEV3
3,31/12/2023,,,,,,,,,,,,,,,,198180.0,185630.0,,ABEV3
4,30/09/2023,,,,,,,,,,,,,,,,202590.0,188900.0,,ABEV3
5,30/06/2023,,,,,,,,,,,,,,,,230480.0,222350.0,,ABEV3
6,31/03/2023,,,,,,,,,,,,,,,,230480.0,222050.0,,ABEV3
7,31/12/2022,,,,,,,,,,,,,,,,206800.0,195640.0,,ABEV3
8,30/09/2022,,,,,,,,,,,,,,,,245070.0,230340.0,,ABEV3
9,30/06/2022,,,,,,,,,,,,,,,,237830.0,226900.0,,ABEV3
10,31/03/2022,,,,,,,,,,,,,,,,216250.0,206350.0,,ABEV3
11,31/12/2021,,,,,,,,,,,,,,,,233650.0,220120.0,,ABEV3
12,30/09/2021,,,,,,,,,,,,,,,,262880.0,247950.0,,ABEV3
13,30/06/2021,,,,,,,,,,,,,,,,269650.0,259370.0,,ABEV3
14,31/03/2021,,,,,,,,,,,,,,,,254660.0,242400.0,,ABEV3
15,31/12/2020,,,,,,,,,,,,,,,,222970.0,210670.0,,ABEV3
16,30/09/2020,,,,,,,,,,,,,,,,202830.0,188020.0,,ABEV3
17,30/06/2020,,,,,,,,,,,,,,,,228950.0,218290.0,,ABEV3
18,31/03/2020,,,,,,,,,,,,,,,,181580.0,171850.0,,ABEV3
19,31/12/2019,,,,,,,,,,,,,,,,228140.0,219300.0,,ABEV3
20,30/09/2019,,,,,,,,,,,,,,,,276910.0,265980.0,,ABEV3
21,30/06/2019,,,,,,,,,,,,,,,,306530.0,297190.0,,ABEV3
22,31/03/2019,,,,,,,,,,,,,,,,277580.0,269840.0,,ABEV3
23,31/12/2018,,,,,,,,,,,,,,,,270890.0,261850.00000000003,,ABEV3
24,30/09/2018,,,,,,,,,,,,,,,,235830.0,228590.0,,ABEV3
25,30/06/2018,,,,,,,,,,,,,,,,312710.0,306950.0,,ABEV3
26,31/03/2018,,,,,,,,,,,,,,,,344470.0,340990.0,,ABEV3
27,31/12/2017,,,,,,,,,,,,,,,,351130.0,343330.0,,ABEV3
28,30/09/2017,,,,,,,,,,,,,,,,330700.0,325690.0,,ABEV3
29,30/06/2017,,,,,,,,,,,,,,,,300360.0,296520.0,,ABEV3
30,31/03/2017,,,,,,,,,,,,,,,,299110.0,297010.0,,ABEV3
31,31/12/2016,,,,,,,,,,,,,,,,270500.0,268020.0,,ABEV3
32,30/09/2016,,,,,,,,,,,,,,,,300210.0,297130.0,,ABEV3
33,30/06/2016,,,,,,,,,,,,,,,,295490.0,293390.0,,ABEV3
34,31/03/2016,,,,,,,,,,,,,,,,308070.0,306020.0,,ABEV3
35,31/12/2015,,,,,,,,,,,,,,,,278360.0,268340.0,,ABEV3
36,30/09/2015,,,,,,,,,,,,,,,,300050.0,293350.0,,ABEV3
37,30/06/2015,,,,,,,,,,,,,,,,297220.0,292990.0,,ABEV3
38,31/03/2015,,,,,,,,,,,,,,,,309640.0,305350.0,,ABEV3
39,31/12/2014,,,,,,,,,,,,,,,,287540.0,280440.0,,ABEV3
40,30/09/2014,,,,,,,,,,,,,,,,257470.00000000003,254240.0,,ABEV3
41,30/06/2014,,,,,,,,,,,,,,,,245560.0,241950.0,,ABEV3
42,31/03/2014,,,,,,,,,,,,,,,,255360.0,250820.0,,ABEV3
43,31/12/2013,,,,,,,,,,,,,,,,262510.0,254120.0,,ABEV3
44,30/09/2013,,,,,,,,,,,,,,,,168670.0,166830.0,,ABEV3
45,30/06/2013,,,,,,,,,,,,,,,,168670.0,167200.0,,ABEV3
46,31/03/2013,,,,,,,,,,,,,,,,4330.0,4260.0,,ABEV3
47,31/12/2012,,,,,,,,,,,,,,,,4330.0,4290.0,,ABEV3
0,30/09/2024,,,,,,,,,,,,,,,,6740.0,36030.0,,AZUL4
1,30/06/2024,,,,,,,,,,,,,,,,8850.0,37920.0,,AZUL4
2,31/03/2024,,,,,,,,,,,,,,,,14140.0,40380.0,,AZUL4
3,31/12/2023,,,,,,,,,,,,,,,,,,,AZUL4
4,30/09/2023,,,,,,,,,,,,,,,,21310.0,46490.0,,AZUL4
5,30/06/2023,,,,,,,,,,,,,,,,23040.0,44650.0,,AZUL4
6,31/03/2023,,,,,,,,,,,,,,,,16140.0,38810.0,,AZUL4
7,31/12/2022,,,,,,,,,,,,,,,,12630.0,35180.0,,AZUL4
8,30/09/2022,,,,,,,,,,,,,,,,15790.0,38570.0,,AZUL4
9,30/06/2022,,,,,,,,,,,,,,,,18850.0,40000.0,,AZUL4
10,31/03/2022,,,,,,,,,,,,,,,,23610.0,43470.0,,AZUL4
11,31/12/2021,,,,,,,,,,,,,,,,32900.0,54740.0,,AZUL4
12,30/09/2021,,,,,,,,,,,,,,,,36670.0,43430.0,,AZUL4
13,30/06/2021,,,,,,,,,,,,,,,,46950.0,52510.0,,AZUL4
14,31/03/2021,,,,,,,,,,,,,,,,47290.0,52800.0,,AZUL4
15,31/12/2020,,,,,,,,,,,,,,,,48530.0,52830.0,,AZUL4
16,30/09/2020,,,,,,,,,,,,,,,,40470.0,57340.0,,AZUL4
17,30/06/2020,,,,,,,,,,,,,,,,27700.0,45370.0,,AZUL4
18,31/03/2020,,,,,,,,,,,,,,,,14600.0,34730.0,,AZUL4
19,31/12/2019,,,,,,,,,,,,,,,,25550.0,27420.0,,AZUL4
20,30/09/2019,,,,,,,,,,,,,,,,66050.0,67920.0,,AZUL4
21,30/06/2019,,,,,,,,,,,,,,,,68630.0,70470.0,,AZUL4
22,31/03/2019,,,,,,,,,,,,,,,,47730.0,49860.0,,AZUL4
23,31/12/2018,,,,,,,,,,,,,,,,51830.0,54370.0,,AZUL4
24,30/09/2018,,,,,,,,,,,,,,,,38220.0,41080.0,,AZUL4
25,30/06/2018,,,,,,,,,,,,,,,,30140.0,33130.0,,AZUL4
26,31/03/2018,,,,,,,,,,,,,,,,40090.0,42740.0,,AZUL4
27,31/12/2017,,,,,,,,,,,,,,,,43770.0,46500.0,,AZUL4
28,30/09/2017,,,,,,,,,,,,,,,,33970.0,36390.0,,AZUL4
29,30/06/2017,,,,,,,,,,,,,,,,34280.0,37420.0,,AZUL4
30,31/03/2017,,,,,,,,,,,,,,,,30390.0,33670.0,,AZUL4
31,31/12/2016,,,,,,,,,,,,,,,,26510.0,30000.0,,AZUL4
0,30/09/2024,,,,,,,,,,,,,,,,55510.0,66490.0,,B3SA3
1,30/06/2024,,,,,,,,,,,,,,,,62950.0,73340.0,,B3SA3
2,31/03/2024,,,,,,,,,,,,,,,,63300.0,75720.0,,B3SA3
3,31/12/2023,,,,,,,,,,,,,,,,71430.0,83650.0,,B3SA3
4,30/09/2023,,,,,,,,,,,,,,,,71920.0,80330.0,,B3SA3
5,30/06/2023,,,,,,,,,,,,,,,,83040.0,92290.0,,B3SA3
6,31/03/2023,,,,,,,,,,,,,,,,77950.0,87680.0,,B3SA3
7,31/12/2022,,,,,,,,,,,,,,,,70690.0,80180.0,,B3SA3
8,30/09/2022,,,,,,,,,,,,,,,,81180.0,89210.0,,B3SA3
9,30/06/2022,,,,,,,,,,,,,,,,74100.0,84430.0,,B3SA3
10,31/03/2022,,,,,,,,,,,,,,,,72580.0,83340.0,,B3SA3
11,31/12/2021,,,,,,,,,,,,,,,,85150.0,96790.0,,B3SA3
12,30/09/2021,,,,,,,,,,,,,,,,80560.0,90730.0,,B3SA3
13,30/06/2021,,,,,,,,,,,,,,,,92200.0,100190.0,,B3SA3
14,31/03/2021,,,,,,,,,,,,,,,,103730.0,109290.0,,B3SA3
15,31/12/2020,,,,,,,,,,,,,,,,114260.0,119880.0,,B3SA3
16,30/09/2020,,,,,,,,,,,,,,,,110740.0,116330.0,,B3SA3
17,30/06/2020,,,,,,,,,,,,,,,,124890.0,130669.99999999999,,B3SA3
18,31/03/2020,,,,,,,,,,,,,,,,77880.0,82230.0,,B3SA3
19,31/12/2019,,,,,,,,,,,,,,,,97010.0,100880.0,,B3SA3
20,30/09/2019,,,,,,,,,,,,,,,,101720.0,107060.0,,B3SA3
21,30/06/2019,,,,,,,,,,,,,,,,93340.0,98560.0,,B3SA3
22,31/03/2019,,,,,,,,,,,,,,,,69800.0,73460.0,,B3SA3
23,31/12/2018,,,,,,,,,,,,,,,,66610.0,70790.0,,B3SA3
24,30/09/2018,,,,,,,,,,,,,,,,52610.0,58190.0,,B3SA3
25,30/06/2018,,,,,,,,,,,,,,,,47900.0,53490.0,,B3SA3
26,31/03/2018,,,,,,,,,,,,,,,,50820.0,56160.0,,B3SA3
27,31/12/2017,,,,,,,,,,,,,,,,52840.0,57760.0,,B3SA3
28,30/09/2017,,,,,,,,,,,,,,,,52840.0,58180.0,,B3SA3
29,30/06/2017,,,,,,,,,,,,,,,,52840.0,58900.0,,B3SA3
30,31/03/2017,,,,,,,,,,,,,,,,52840.0,58970.0,,B3SA3
31,31/12/2016,,,,,,,,,,,,,,,,46570.0,51720.0,,B3SA3
32,30/09/2016,,,,,,,,,,,,,,,,46570.0,48050.0,,B3SA3
33,30/06/2016,,,,,,,,,,,,,,,,46570.0,48130.0,,B3SA3
34,31/03/2016,,,,,,,,,,,,,,,,46570.0,48340.0,,B3SA3
35,31/12/2015,,,,,,,,,,,,,,,,46570.0,48590.0,,B3SA3
36,30/09/2015,,,,,,,,,,,,,,,,46570.0,46010.0,,B3SA3
37,30/06/2015,,,,,,,,,,,,,,,,46570.0,48240.0,,B3SA3
38,31/03/2015,,,,,,,,,,,,,,,,46570.0,48230.0,,B3SA3
39,31/12/2014,,,,,,,,,,,,,,,,48750.0,49920.0,,B3SA3
40,30/09/2014,,,,,,,,,,,,,,,,48750.0,49900.0,,B3SA3
41,30/06/2014,,,,,,,,,,,,,,,,48750.0,49940.0,,B3SA3
42,31/03/2014,,,,,,,,,,,,,,,,48750.0,48830.0,,B3SA3
43,31/12/2013,,,,,,,,,,,,,,,,50810.0,51080.0,,B3SA3
44,30/09/2013,,,,,,,,,,,,,,,,50810.0,51430.0,,B3SA3
45,30/06/2013,,,,,,,,,,,,,,,,50810.0,52010.0,,B3SA3
46,31/03/2013,,,,,,,,,,,,,,,,50810.0,52010.0,,B3SA3
47,31/12/2012,,,,,,,,,,,,,,,,50810.0,52040.0,,B3SA3
48,30/09/2012,,,,,,,,,,,,,,,,50810.0,52010.0,,B3SA3
49,30/06/2012,,,,,,,,,,,,,,,,50810.0,52020.0,,B3SA3
50,31/03/2012,,,,,,,,,,,,,,,,50810.0,51890.0,,B3SA3
51,31/12/2011,,,,,,,,,,,,,,,,50810.0,51910.0,,B3SA3
52,30/09/2011,,,,,,,,,,,,,,,,52450.0,53450.0,,B3SA3
53,30/06/2011,,,,,,,,,,,,,,,,52450.0,53400.0,,B3SA3
54,31/03/2011,,,,,,,,,,,,,,,,52450.0,51910.0,,B3SA3
55,31/12/2010,,,,,,,,,,,,,,,,52450.0,53390.0,,B3SA3
56,30/09/2010,,,,,,,,,,,,,,,,52450.0,50540.0,,B3SA3
57,30/06/2010,,,,,,,,,,,,,,,,52450.0,48840.0,,B3SA3
58,31/03/2010,,,,,,,,,,,,,,,,52450.0,48420.0,,B3SA3
59,31/12/2009,,,,,,,,,,,,,,,,52450.0,49810.0,,B3SA3
60,30/09/2009,,,,,,,,,,,,,,,,52450.0,49760.0,,B3SA3
