,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamento,aumento_reducao_caixa_equivalentes,datas,tic
0,8109.999999999999,-1130.0,-1090.0,5630.0,30/09/2024,ABEV3
1,3360.0,-1080.0,-1700.0,1310.0,30/06/2024,ABEV3
2,718.2,-1780.0,-2300.0,-3210.0,31/03/2024,ABEV3
3,13950.0,-2260.0,-11990.0,-1350.0,31/12/2023,ABEV3
4,7920.0,-1210.0,-1400.0,5400.0,30/09/2023,ABEV3
5,3420.0,-1220.0,-1710.0,-43.93,30/06/2023,ABEV3
6,-576.27,-1080.0,-1020.0,-2800.0,31/03/2023,ABEV3
7,11810.0,-1100.0,-12680.0,-2420.0,31/12/2022,ABEV3
8,6110.0,-1650.0,-926.49,3660.0,30/09/2022,ABEV3
9,2200.0,-1950.0,-11.45,814.22,30/06/2022,ABEV3
10,519.76,-307.2,-2720.0,-3800.0,31/03/2022,ABEV3
11,11830.0,-2680.0,-10520.0,-1150.0,31/12/2021,ABEV3
12,6400.0,-2480.0,155.02,4570.0,30/09/2021,ABEV3
13,1840.0,-855.12,-3890.0,-4110.0,30/06/2021,ABEV3
14,2840.0,-1720.0,-1780.0,195.73,31/03/2021,ABEV3
15,8390.0,-1650.0,-9580.0,-3890.0,31/12/2020,ABEV3
16,7080.0,-2660.0,-861.52,4230.0,30/09/2020,ABEV3
17,1840.0,-814.92,1990.0,3540.0,30/06/2020,ABEV3
18,1540.0,-1670.0,-147.58,1300.0,31/03/2020,ABEV3
19,9630.0,-1910.0,-10350.0,-3120.0,31/12/2019,ABEV3
20,3550.0,-1650.0,-1270.0,821.37,30/09/2019,ABEV3
21,3110.0,-894.36,-277.24,1370.0,30/06/2019,ABEV3
22,2080.0,-383.14,-383.83,1360.0,31/03/2019,ABEV3
23,8790.0,-1300.0,-8029.999999999999,-738.52,31/12/2018,ABEV3
24,5260.0,-996.59,-2630.0,1580.0,30/09/2018,ABEV3
25,3080.0,2170.0,-3080.0,2670.0,30/06/2018,ABEV3
26,792.3,-3560.0,521.56,-2400.0,31/03/2018,ABEV3
27,8900.0,-1100.0,-6580.0,2009.9999999999998,31/12/2017,ABEV3
28,4560.0,-647.37,-3970.0,-389.59,30/09/2017,ABEV3
29,2420.0,-715.88,-461.91,1500.0,30/06/2017,ABEV3
30,1980.0,-607.58,-1860.0,-647.71,31/03/2017,ABEV3
31,7930.0,-1380.0,-5630.0,821.9,31/12/2016,ABEV3
32,4540.0,-839.16,-2260.0,1500.0,30/09/2016,ABEV3
33,2080.0,-1320.0,-1060.0,-455.03,30/06/2016,ABEV3
34,-2210.0,-2360.0,-2700.0,-7610.0,31/03/2016,ABEV3
35,10990.0,-2380.0,-4700.0,4130.0,31/12/2015,ABEV3
36,5490.0,-1370.0,-2080.0,2780.0,30/09/2015,ABEV3
37,3870.0,-1040.0,-2730.0,-72.17,30/06/2015,ABEV3
38,3230.0,-1200.0,-5820.0,-2840.0,31/03/2015,ABEV3
39,8770.0,-1390.0,-3380.0,4220.0,31/12/2014,ABEV3
40,2930.0,-1350.0,-2500.0,-623.45,30/09/2014,ABEV3
41,2610.0,-1090.0,-2730.0,-1270.0,30/06/2014,ABEV3
42,1580.0,-944.37,-4530.0,-4240.0,31/03/2014,ABEV3
43,5340.0,-1090.0,2110.0,6450.0,31/12/2013,ABEV3
44,7480.0,-1450.0,-5810.0,352.07,30/09/2013,ABEV3
45,2430.0,-1260.0,-5680.0,-4490.0,30/06/2013,ABEV3
46,33.94,-4.12,,29.81,31/03/2013,ABEV3
47,,,,,31/12/2012,ABEV3
0,693.81,-233.75,-817.58,-357.43,30/09/2024,AZUL4
1,1180.0,-412.94,-668.27,101.98,30/06/2024,AZUL4
2,-63.19,-435.89,-59.44,-559.73,31/03/2024,AZUL4
3,1900.0,-144.71,-1250.0,497.94,31/12/2023,AZUL4
4,-95.52,-426.17,1240.0,783.18,30/09/2023,AZUL4
5,593.27,-221.83,-220.04,149.86,30/06/2023,AZUL4
6,1040.0,-81.78,-1160.0,-202.0,31/03/2023,AZUL4
7,1510.0,-225.43,-1710.0,-435.4,31/12/2022,AZUL4
8,60.1,145.44,-1160.0,-929.88,30/09/2022,AZUL4
9,1100.0,-332.88,-632.22,175.86,30/06/2022,AZUL4
10,-237.93,-226.98,-703.58,-1220.0,31/03/2022,AZUL4
11,337.24,-284.22,-649.81,-559.52,31/12/2021,AZUL4
12,-69.79,-143.11,-689.96,-705.75,30/09/2021,AZUL4
13,-219.44,-122.38,2470.0,2060.0,30/06/2021,AZUL4
14,-358.64,-156.43,-297.35,-789.39,31/03/2021,AZUL4
15,216.37,16.17,1390.0,1630.0,31/12/2020,AZUL4
16,208.5,-105.99,-232.02,-130.65,30/09/2020,AZUL4
17,508.44,613.99,-53.94,1040.0,30/06/2020,AZUL4
18,42.93,-927.99,-165.77,-1120.0,31/03/2020,AZUL4
19,891.74,-538.18,-251.02,125.8,31/12/2019,AZUL4
20,736.69,-78.57,-306.13,309.09,30/09/2019,AZUL4
21,750.4,-171.4,-281.16,304.61,30/06/2019,AZUL4
22,215.81,-398.68,-75.19,-260.75,31/03/2019,AZUL4
23,300.88,-89.23,86.77,275.46,31/12/2018,AZUL4
24,199.5,41.81,-223.63,44.72,30/09/2018,AZUL4
25,63.82,-123.28,110.03,110.02,30/06/2018,AZUL4
26,-121.15,228.66,-134.41,-23.38,31/03/2018,AZUL4
27,39.82,-204.18,400.46,276.46,31/12/2017,AZUL4
28,423.61,-84.75,-335.76,-15.05,30/09/2017,AZUL4
29,-189.8,-812.87,1050.0,65.94,30/06/2017,AZUL4
30,21.87,125.96,-262.03,-114.19,31/03/2017,AZUL4
31,,,,,31/12/2016,AZUL4
0,1230.0,-83.79,-1270.0,-132.85,30/09/2024,B3SA3
1,4120.0,-42.52,-4019.9999999999995,73.47,30/06/2024,B3SA3
2,1530.0,-25.67,-1480.0,41.83,31/03/2024,B3SA3
3,-1020.0,-83.02,1130.0,23.06,31/12/2023,B3SA3
4,1300.0,-34.18,-1370.0,-97.29,30/09/2023,B3SA3
5,2110.0,-628.25,-1450.0,28.05,30/06/2023,B3SA3
6,1360.0,-82.37,-1310.0,-37.72,31/03/2023,B3SA3
7,1820.0,-84.73,-1690.0,43.76,31/12/2022,B3SA3
8,2480.0,-49.36,-2400.0,36.99,30/09/2022,B3SA3
9,3930.0,-19.26,-3890.0,16.4,30/06/2022,B3SA3
10,1650.0,-110.84,-1580.0,-32.61,31/03/2022,B3SA3
11,4130.0,-2020.0,-2220.0,-111.44,31/12/2021,B3SA3
12,-2000.0,-86.72,2280.0,194.25,30/09/2021,B3SA3
13,-620.91,-75.85,383.07,-313.69,30/06/2021,B3SA3
