,preço_lucro,preço_vpa,preço_receita_líquida,preço_fco,preço_fcf,preço_ativo_total,preço_ebit,preço_capital_giro,preço_ncav,ev_ebit,ev_ebitda,ev_receita_líquida,ev_fco,ev_fcf,ev_ativo_total,market_cap_empresa,enterprise_value,dividend_yield,datas,tic
0,-8.33,0.58,0.50,113.39,-7.38,0.20,5.28,141.80,-0.32,8.38,4.96,0.79,179.80,-11.70,0.32,620.1,983.3,0.0,16/12/2025,AALR3
1,-10.23,0.71,0.61,139.29,-9.07,0.25,6.49,174.20,-0.39,9.59,5.67,0.91,205.70,-13.39,0.37,761.8,1120.0,0.0,30/09/2025,AALR3
2,-10.49,0.80,0.69,-33.27,-7.51,0.29,7.13,29.69,-0.47,9.85,5.16,0.95,-45.97,-10.38,0.41,844.07,1170.0,0.0,30/06/2025,AALR3
3,-14.18,0.85,0.73,33.45,-14.35,0.32,6.98,-72.10,-0.51,11.14,6.10,1.17,53.43,-22.93,0.51,909.59,1450.0,0.0,31/03/2025,AALR3
4,-10.81,1.22,1.09,-32.44,-9.48,0.46,11.78,47.47,-0.75,17.14,8.77,1.59,-47.23,-13.80,0.67,1330.0,1940.0,0.0,31/12/2024,AALR3
5,-10.01,1.44,1.37,8.38,15.48,0.63,25.06,-11.37,-1.01,33.67,12.81,1.84,11.26,20.80,0.84,1650.0,2220.0,0.0,30/09/2024,AALR3
6,-5.38,1.08,0.99,7.03,13.65,0.44,30.09,-7.56,-0.67,45.11,11.86,1.48,10.54,20.46,0.65,1180.0,1760.0,0.0,30/06/2024,AALR3
7,-4.86,1.35,1.12,20.74,-67.91,0.51,73.02,-5.67,-0.72,115.84,15.98,1.78,32.90,-107.73,0.81,1310.0,2080.0,0.0,31/03/2024,AALR3
8,-3.97,0.99,0.77,8.85,83.92,0.34,23.26,-4.31,-0.46,44.51,11.38,1.47,16.93,160.57,0.65,904.94,1730.0,0.0,31/12/2023,AALR3
9,-4.60,1.19,1.05,21.17,-20.33,0.44,65.41,-5.41,-0.62,106.31,14.52,1.70,34.41,-33.04,0.72,1210.0,1970.0,0.0,30/09/2023,AALR3
10,-9.87,3.27,2.50,56.18,-36.54,1.12,-229.11,-8.79,-1.43,-301.66,35.74,3.29,73.98,-48.11,1.48,2830.0,3720.0,0.0,30/06/2023,AALR3
11,-10.84,2.96,2.44,13.03,33.47,1.04,-157.58,-10.73,-1.40,-208.13,35.40,3.22,17.21,44.20,1.38,2680.0,3540.0,0.0,31/03/2023,AALR3
12,-11.71,2.81,2.46,14.24,35.90,1.02,-83.26,-13.74,-1.43,-108.74,40.65,3.21,18.60,46.89,1.33,2670.0,3480.0,0.0,31/12/2022,AALR3
13,-18.58,2.35,2.30,9.65,16.01,0.96,-672.17,-30.69,-1.53,-849.03,28.25,2.91,12.19,20.22,1.21,2520.0,3180.0,0.0,30/09/2022,AALR3
14,-43.88,2.12,2.18,8.97,14.17,0.94,48.73,-26.06,-1.59,60.16,17.97,2.70,11.07,17.50,1.16,2420.0,2990.0,0.0,30/06/2022,AALR3
15,-72.35,2.02,2.07,18.85,103.95,0.92,35.83,-29.45,-1.60,46.26,16.48,2.68,24.33,134.21,1.19,2340.0,3020.0,0.0,31/03/2022,AALR3
16,-376.43,1.80,1.86,14.20,43.54,0.83,24.01,-21.12,-1.44,31.39,13.32,2.44,18.56,56.92,1.09,2120.0,2770.0,0.0,31/12/2021,AALR3
17,41.73,1.33,1.38,9.62,22.77,0.62,11.22,-35.64,-1.11,15.52,8.37,1.91,13.31,31.50,0.85,1600.0,2220.0,0.0,30/09/2021,AALR3
18,41.08,1.00,1.08,8.34,20.71,0.46,9.90,12.15,-0.92,14.56,7.27,1.59,12.26,30.45,0.68,1210.0,1780.0,0.0,30/06/2021,AALR3
19,-15.92,0.87,1.07,9.04,22.91,0.41,41.81,18.03,-0.80,64.34,11.06,1.64,13.91,35.26,0.63,1040.0,1610.0,0.0,31/03/2021,AALR3
20,-11.29,0.92,1.18,9.33,21.51,0.43,-120.59,11.90,-0.87,-182.49,15.13,1.79,14.13,32.55,0.66,1100.0,1660.0,0.009399999999999999,31/12/2020,AALR3
21,-12.05,1.05,1.38,9.38,18.52,0.48,-84.22,-38.66,-0.88,-124.33,17.83,2.03,13.85,27.34,0.72,1240.0,1830.0,0.0083,30/09/2020,AALR3
22,-15.32,1.10,1.41,6.90,10.78,0.49,211.91,-13.24,-0.84,306.29,15.01,2.04,9.98,15.58,0.71,1290.0,1870.0,0.008,30/06/2020,AALR3
23,105.73,0.81,0.98,4.50,6.76,0.39,9.77,-72.72,-0.75,15.15,7.12,1.53,6.99,10.49,0.61,1030.0,1600.0,0.01,31/03/2020,AALR3
24,35.09,1.13,1.35,6.79,10.49,0.60,10.16,134.03,-1.31,13.85,7.58,1.84,9.26,14.30,0.82,1450.0,1980.0,0.0069,31/12/2019,AALR3
25,40.90,1.60,1.93,8.94,13.61,0.83,13.48,72.35,-1.79,17.05,10.10,2.44,11.31,17.21,1.05,2060.0,2600.0,0.0049,30/09/2019,AALR3
26,38.10,1.41,1.68,9.58,16.29,0.74,12.13,-71.74,-1.54,15.76,9.48,2.18,12.45,21.17,0.97,1800.0,2340.0,0.005600000000000001,30/06/2019,AALR3
