,caixa_equivalentes_caixa,ativo_total,divida_curto_prazo,divida_longo_prazo,divida_bruta,divida_liquida,patrimonio_liquido,valor_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,total,datas,tic
0,447.76,2280.0,109.0,440.34,549.34,101.58,1200.0,3.31,362.049.609,0,362.049.609,31/12/2024,FIQE3
1,514.64,2250.0,115.98,457.06,573.05,58.41,1170.0,3.23,362.049.609,0,362.049.609,30/09/2024,FIQE3
2,539.7,2230.0,110.13,462.08,572.22,32.52,1120.0,3.10,362.049.609,0,362.049.609,30/06/2024,FIQE3
3,244.45,1970.0,110.73,189.57,300.3,55.85,1130.0,3.13,362.049.609,0,362.049.609,31/03/2024,FIQE3
4,272.27,2020.0,108.43,215.3,323.73,51.47,1100.0,3.03,362.049.609,0,362.049.609,31/12/2023,FIQE3
5,305.65,1970.0,93.04,239.03,332.08,26.43,1080.0,2.98,362.049.609,0,362.049.609,30/09/2023,FIQE3
6,287.4,2000.0,101.67,234.99,336.66,49.27,1050.0,2.91,362.049.609,0,362.049.609,30/06/2023,FIQE3
7,292.37,1910.0,90.08,259.25,349.34,56.97,1020.0,2.83,362.049.609,0,362.049.609,31/03/2023,FIQE3
8,368.09,1920.0,85.39,284.77,370.16,2.07,997.27,2.75,362.049.609,0,362.049.609,31/12/2022,FIQE3
9,458.27,1900.0,76.36,302.06,378.42,-79.86,994.63,2.75,362.049.609,0,362.049.609,30/09/2022,FIQE3
10,535.7,1690.0,75.98,288.26,364.24,-171.46,963.5,2.66,362.049.609,0,362.049.609,30/06/2022,FIQE3
11,479.06,1620.0,70.02,218.72,288.74,-190.32,972.41,2.69,362.049.609,0,362.049.609,31/03/2022,FIQE3
12,528.85,1620.0,61.08,227.32,288.41,-240.44,959.01,2.67,359.332.409,0,359.332.409,31/12/2021,FIQE3
13,597.68,1600.0,44.96,242.57,287.53,-310.15,985.0,2.72,362.049.609,0,362.049.609,30/09/2021,FIQE3
14,76.11,656.43,37.26,259.76,297.02,220.91,124.21,0.47,261.651.830,0,261.651.830,30/06/2021,FIQE3
15,158.82,606.97,27.34,260.12,287.46,128.64,136.14,11.45,11.893.265,0,11.893.265,31/03/2021,FIQE3
16,43.34,455.84,29.42,125.03,154.44,111.11,117.48,9.88,11.893.265,0,11.893.265,31/12/2020,FIQE3
0,21.79,13060.0,497.61,4890.0,5390.0,5370.0,5290.0,9.67,547.191.026,0,547.191.026,31/12/2024,FLRY3
1,12.63,13030.0,905.46,4270.0,5170.0,5160.0,5340.0,9.76,547.191.026,0,547.191.026,30/09/2024,FLRY3
2,10.41,12800.0,593.82,4560.0,5160.0,5150.0,5360.0,9.79,547.191.026,0,547.191.026,30/06/2024,FLRY3
3,91.4,11690.0,594.66,3610.0,4210.0,4120.0,5180.0,9.47,547.191.026,0,547.191.026,31/03/2024,FLRY3
4,21.92,11580.0,580.16,3660.0,4240.0,4220.0,5080.0,9.29,547.191.026,0,547.191.026,31/12/2023,FLRY3
5,14.12,11530.0,707.6,3370.0,4080.0,4059.9999999999995,5180.0,9.46,547.191.026,0,547.191.026,30/09/2023,FLRY3
6,31.51,11510.0,824.47,3390.0,4220.0,4180.0,5100.0,9.31,547.185.685,0,547.185.685,30/06/2023,FLRY3
7,9.87,7860.0,563.98,3130.0,3690.0,3680.0,2790.0,7.59,367.197.096,0,367.197.096,31/03/2023,FLRY3
8,17.26,7790.0,535.82,3140.0,3680.0,3660.0,2680.0,7.30,367.197.096,0,367.197.096,31/12/2022,FLRY3
9,8.89,6780.0,683.05,2930.0,3620.0,3610.0,1910.0,6.02,318.137.880,0,318.137.880,30/09/2022,FLRY3
10,20.64,6730.0,649.95,2950.0,3600.0,3580.0,1820.0,5.72,317.943.996,0,317.943.996,30/06/2022,FLRY3
11,13.71,6000.0,366.89,2480.0,2850.0,2830.0,1740.0,5.48,317.943.996,0,317.943.996,31/03/2022,FLRY3
12,33.72,6070.0,504.7,2440.0,2950.0,2910.0,1850.0,5.80,317.943.996,0,317.943.996,31/12/2021,FLRY3
13,25.93,6110.0,467.54,2560.0,3030.0,3000.0,1810.0,5.71,317.943.996,0,317.943.996,30/09/2021,FLRY3
14,35.43,5320.0,841.62,1540.0,2390.0,2350.0,1760.0,5.54,317.366.103,0,317.366.103,30/06/2021,FLRY3
15,13.59,5500.0,740.88,1930.0,2670.0,2660.0,1690.0,5.33,317.366.103,0,317.366.103,31/03/2021,FLRY3
16,28.18,5520.0,472.25,1430.0,1900.0,1880.0,1750.0,5.52,317.266.103,0,317.266.103,31/12/2020,FLRY3
17,18.64,5600.0,326.18,1600.0,1930.0,1910.0,1690.0,5.32,317.366.103,0,317.366.103,30/09/2020,FLRY3
18,19.6,5400.0,311.46,1610.0,1920.0,1900.0,1550.0,4.89,316.788.210,0,316.788.210,30/06/2020,FLRY3
19,19.41,5140.0,59.04,1490.0,1550.0,1530.0,1620.0,5.12,316.788.210,0,316.788.210,31/03/2020,FLRY3
20,8.97,5100.0,208.5,1350.0,1560.0,1550.0,1760.0,5.55,316.744.460,0,316.744.460,31/12/2019,FLRY3
21,6.47,4750.0,220.0,854.67,1070.0,1070.0,1740.0,5.48,316.744.460,0,316.744.460,30/09/2019,FLRY3
22,8.96,4670.0,210.69,861.76,1070.0,1060.0,1700.0,5.39,316.113.442,0,316.113.442,30/06/2019,FLRY3
23,6.01,4710.0,217.9,869.03,1090.0,1080.0,1630.0,5.15,316.113.442,0,316.113.442,31/03/2019,FLRY3
24,55.23,3910.0,216.21,1040.0,1260.0,1200.0,1750.0,5.54,316.113.442,0,316.113.442,31/12/2018,FLRY3
25,130.34,3940.0,326.38,1050.0,1380.0,1250.0,1730.0,5.47,315.654.796,0,315.654.796,30/09/2018,FLRY3
26,222.27,3870.0,312.88,1060.0,1370.0,1150.0,1690.0,5.36,315.312.192,0,315.312.192,30/06/2018,FLRY3
27,191.49,3450.0,308.08,564.76,872.84,681.35,1600.0,5.08,315.312.192,0,315.312.192,31/03/2018,FLRY3
28,337.54,3530.0,315.64,739.28,1050.0,717.38,1710.0,5.41,315.312.192,0,315.312.192,31/12/2017,FLRY3
29,313.0,3230.0,307.47,542.95,850.42,537.42,1680.0,5.32,314.791.538,0,314.791.538,30/09/2017,FLRY3
30,267.9,3150.0,308.38,521.31,829.69,561.79,1650.0,5.23,314.791.538,0,314.791.538,30/06/2017,FLRY3
31,257.61,3020.0,301.67,515.53,817.2,559.59,1550.0,9.86,157.115.125,0,157.115.125,31/03/2017,FLRY3
32,313.83,3010.0,147.99,684.03,832.02,518.19,1540.0,9.77,157.115.125,0,157.115.125,31/12/2016,FLRY3
33,829.64,3370.0,194.61,787.26,981.87,152.23,1770.0,11.32,156.293.356,0,156.293.356,30/09/2016,FLRY3
34,753.89,3310.0,196.71,792.04,988.75,234.86,1740.0,11.11,156.293.356,0,156.293.356,30/06/2016,FLRY3
35,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,31/03/2016,FLRY3
36,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,31/12/2015,FLRY3
37,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,30/09/2015,FLRY3
38,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,30/06/2015,FLRY3
39,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,31/03/2015,FLRY3
40,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,31/12/2014,FLRY3
41,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,30/09/2014,FLRY3
42,651.45,3250.0,186.89,796.81,983.7,332.26,1700.0,10.88,156.293.356,0,156.293.356,30/06/2014,FLRY3
