,retorno_sobre_capital_tangivel_inicial,retorno_sobre_capital_investido_inicial,retorno_sobre_capital_tangivel_inicial_pre_impostos,retorno_sobre_capital_investido_inicial_pre_impostos,retorno_sobre_patrimonio_liquido_inicial,retorno_sobre_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_do_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda,datas,tic
0,0.068,0.043,0.104,0.065,-0.134,-0.046,0.292,-0.101,0.093,0.182,0.46,2.64,1.64,2.75,31/12/2024,AALR3
1,0.039,0.024,0.058,0.037,-0.162,-0.06,0.304,-0.137,0.055,0.144,0.44,2.30,1.30,3.28,30/09/2024,AALR3
2,0.023,0.015,0.035,0.022,-0.252,-0.087,0.298,-0.184,0.033,0.125,0.47,2.47,1.47,3.95,30/06/2024,AALR3
3,0.01,0.007,0.016,0.01,-0.298,-0.105,0.296,-0.231,0.015,0.111,0.46,2.66,1.66,5.91,31/03/2024,AALR3
4,0.022,0.014,0.034,0.022,-0.24,-0.087,0.309,-0.193,0.033,0.129,0.45,2.91,1.91,5.43,31/12/2023,AALR3
5,0.011,0.007,0.016,0.011,-0.245,-0.1,0.301,-0.228,0.016,0.117,0.44,2.71,1.71,5.59,30/09/2023,AALR3
6,-0.007,-0.005,-0.011,-0.007,-0.25,-0.111,0.303,-0.253,-0.011,0.092,0.44,2.91,1.91,8.60,30/06/2023,AALR3
7,-0.009,-0.006,-0.014,-0.009,-0.213,-0.098,0.308,-0.225,-0.016,0.091,0.43,2.84,1.84,8.60,31/03/2023,AALR3
8,-0.017,-0.012,-0.026,-0.018,-0.194,-0.09,0.3,-0.21,-0.03,0.079,0.43,2.75,1.75,9.52,31/12/2022,AALR3
9,-0.002,-0.001,-0.003,-0.002,-0.112,-0.052,0.306,-0.124,-0.003,0.103,0.42,2.45,1.45,5.88,30/09/2022,AALR3
10,0.027,0.018,0.042,0.028,-0.046,-0.021,0.32,-0.05,0.045,0.15,0.42,2.25,1.25,3.42,30/06/2022,AALR3
11,0.038,0.024,0.058,0.037,-0.027,-0.013,0.317,-0.029,0.058,0.162,0.44,2.19,1.19,3.71,31/03/2022,AALR3
12,0.051,0.033,0.078,0.05,-0.005,-0.002,0.313,-0.005,0.078,0.183,0.45,2.16,1.16,3.13,31/12/2021,AALR3
13,0.082,0.053,0.124,0.081,0.033,0.015,0.314,0.033,0.123,0.229,0.45,2.16,1.16,2.32,30/09/2021,AALR3
14,0.07,0.046,0.107,0.07,0.025,0.011,0.282,0.026,0.109,0.218,0.43,2.17,1.17,2.33,30/06/2021,AALR3
15,0.013,0.009,0.02,0.014,-0.052,-0.025,0.214,-0.067,0.026,0.149,0.37,2.14,1.14,3.87,31/03/2021,AALR3
16,-0.005,-0.003,-0.008,-0.005,-0.076,-0.041,0.178,-0.105,-0.01,0.118,0.39,2.13,1.13,5.13,31/12/2020,AALR3
17,-0.008,-0.005,-0.012,-0.008,-0.08,-0.042,0.164,-0.114,-0.016,0.114,0.36,2.17,1.17,5.75,30/09/2020,AALR3
18,0.003,0.002,0.005,0.003,-0.066,-0.035,0.18,-0.092,0.007,0.136,0.38,2.22,1.22,4.63,30/06/2020,AALR3
19,0.056,0.038,0.086,0.058,0.008,0.004,0.244,0.009,0.101,0.214,0.43,2.08,1.08,2.53,31/03/2020,AALR3
20,0.093,0.053,0.14,0.08,0.033,0.019,0.266,0.038,0.133,0.243,0.49,1.87,0.87,2.02,31/12/2019,AALR3
21,0.095,0.055,0.143,0.084,0.04,0.022,0.267,0.047,0.143,0.241,0.47,1.92,0.92,2.11,30/09/2019,AALR3
22,0.094,0.055,0.143,0.083,0.038,0.021,0.267,0.044,0.138,0.23,0.47,1.90,0.90,2.18,30/06/2019,AALR3
23,0.088,0.052,0.133,0.079,0.035,0.019,0.267,0.04,0.131,0.216,0.47,1.92,0.92,2.34,31/03/2019,AALR3
24,0.088,0.052,0.133,0.08,0.033,0.018,0.269,0.037,0.128,0.204,0.47,1.76,0.76,2.42,31/12/2018,AALR3
25,0.046,0.028,0.07,0.043,0.008,0.005,0.272,0.01,0.068,0.147,0.47,1.81,0.81,3.62,30/09/2018,AALR3
26,0.049,0.03,0.074,0.045,0.008,0.004,0.28,0.008,0.068,0.142,0.48,1.83,0.83,3.54,30/06/2018,AALR3
27,0.052,0.032,0.079,0.048,0.007,0.004,0.294,0.007,0.072,0.144,0.49,1.85,0.85,3.63,31/03/2018,AALR3
28,0.05,0.03,0.076,0.046,0.006,0.003,0.298,0.006,0.065,0.139,0.50,1.87,0.87,3.40,31/12/2017,AALR3
29,0.093,0.055,0.141,0.084,0.041,0.019,0.314,0.033,0.108,0.178,0.56,1.88,0.88,2.40,30/09/2017,AALR3
30,0.087,0.053,0.132,0.081,0.03,0.014,0.34,0.025,0.106,0.177,0.56,1.86,0.86,2.42,30/06/2017,AALR3
31,0.083,0.05,0.125,0.075,0.015,0.007,0.358,0.013,0.101,0.166,0.55,1.88,0.88,2.56,31/03/2017,AALR3
32,0.087,0.056,0.131,0.086,0.02,0.01,0.379,0.016,0.106,0.163,0.62,1.85,0.85,2.23,31/12/2016,AALR3
33,0.093,0.061,0.141,0.092,0.024,0.011,0.397,0.02,0.124,0.176,0.57,2.20,1.20,3.31,30/09/2016,AALR3
34,0.09,0.059,0.136,0.089,-0.018,-0.009,0.398,-0.016,0.13,0.179,0.52,2.12,1.12,3.34,30/06/2016,AALR3
35,0.096,0.062,0.145,0.095,0.013,0.006,0.399,0.013,0.152,0.201,0.48,2.06,1.06,3.19,31/03/2016,AALR3
36,,,,,,,0.397,-0.018,0.155,0.206,NA,2.10,1.10,3.08,31/12/2015,AALR3
0,0.499,0.217,0.756,0.328,0.183,0.109,0.512,0.161,0.244,0.319,0.67,1.65,0.65,-0.88,31/12/2024,ABEV3
1,0.336,0.17,0.51,0.257,0.154,0.101,0.51,0.169,0.239,0.315,0.60,1.50,0.50,-0.63,30/09/2024,ABEV3
2,0.318,0.165,0.482,0.25,0.169,0.108,0.508,0.179,0.239,0.315,0.60,1.51,0.51,-0.42,30/06/2024,ABEV3
3,0.313,0.161,0.474,0.244,0.171,0.107,0.507,0.182,0.235,0.312,0.59,1.55,0.55,-0.36,31/03/2024,ABEV3
4,0.366,0.174,0.554,0.263,0.177,0.105,0.507,0.182,0.234,0.309,0.58,1.68,0.68,-0.51,31/12/2023,ABEV3
5,0.313,0.163,0.474,0.247,0.167,0.106,0.503,0.183,0.226,0.3,0.58,1.53,0.53,-0.55,30/09/2023,ABEV3
6,0.296,0.156,0.449,0.236,0.166,0.104,0.5,0.173,0.215,0.287,0.61,1.57,0.57,-0.34,30/06/2023,ABEV3
7,0.344,0.176,0.522,0.266,0.187,0.116,0.497,0.18,0.225,0.294,0.64,1.59,0.59,-0.35,31/03/2023,ABEV3
8,0.355,0.169,0.538,0.256,0.175,0.104,0.493,0.181,0.221,0.29,0.58,1.68,0.68,-0.48,31/12/2022,ABEV3
9,0.309,0.159,0.468,0.241,0.151,0.097,0.495,0.166,0.22,0.287,0.58,1.58,0.58,-0.65,30/09/2022,ABEV3
10,0.319,0.166,0.484,0.252,0.172,0.109,0.499,0.176,0.225,0.293,0.62,1.58,0.58,-0.49,30/06/2022,ABEV3
11,0.315,0.162,0.478,0.246,0.164,0.101,0.503,0.18,0.23,0.299,0.56,1.61,0.61,-0.44,31/03/2022,ABEV3
12,0.376,0.182,0.57,0.276,0.172,0.101,0.51,0.174,0.233,0.303,0.58,1.68,0.68,-0.61,31/12/2021,ABEV3
13,0.424,0.201,0.642,0.305,0.203,0.125,0.519,0.228,0.278,0.351,0.55,1.56,0.56,-0.61,30/09/2021,ABEV3
14,0.409,0.197,0.619,0.298,0.197,0.12,0.526,0.219,0.284,0.359,0.55,1.58,0.58,-0.43,30/06/2021,ABEV3
15,0.386,0.184,0.585,0.278,0.184,0.114,0.53,0.207,0.27,0.351,0.55,1.63,0.63,-0.56,31/03/2021,ABEV3
16,0.435,0.2,0.659,0.304,0.186,0.112,0.536,0.195,0.273,0.358,0.57,1.70,0.70,-0.59,31/12/2020,ABEV3
17,0.355,0.166,0.538,0.252,0.132,0.085,0.547,0.156,0.248,0.336,0.54,1.63,0.63,-0.79,30/09/2020,ABEV3
18,0.367,0.169,0.557,0.256,0.145,0.09,0.557,0.171,0.257,0.351,0.53,1.64,0.64,-0.58,30/06/2020,ABEV3
19,0.427,0.193,0.647,0.292,0.173,0.105,0.577,0.194,0.286,0.374,0.54,1.62,0.62,-0.49,31/03/2020,ABEV3
20,0.55,0.224,0.833,0.339,0.209,0.125,0.588,0.224,0.305,0.391,0.56,1.66,0.66,-0.43,31/12/2019,ABEV3
21,0.526,0.215,0.797,0.325,0.188,0.116,0.595,0.21,0.319,0.396,0.55,1.56,0.56,-0.52,30/09/2019,ABEV3
22,0.6,0.243,0.91,0.368,0.218,0.125,0.605,0.22,0.33,0.406,0.57,1.60,0.60,-0.44,30/06/2019,ABEV3
23,0.597,0.251,0.905,0.38,0.229,0.136,0.611,0.218,0.337,0.413,0.62,1.64,0.64,-0.37,31/03/2019,ABEV3
24,0.859,0.294,1.302,0.445,0.24,0.127,0.616,0.22,0.338,0.415,0.58,1.67,0.67,-0.43,31/12/2018,ABEV3
25,0.638,0.267,0.966,0.404,0.229,0.13,0.63,0.219,0.346,0.422,0.59,1.62,0.62,-0.35,30/09/2018,ABEV3
26,0.687,0.26,1.041,0.394,0.166,0.094,0.63,0.16,0.349,0.421,0.59,1.74,0.74,-0.28,30/06/2018,ABEV3
27,0.622,0.246,0.943,0.373,0.163,0.095,0.628,0.158,0.346,0.419,0.60,1.69,0.69,-0.17,31/03/2018,ABEV3
