,datas,caixa_equivalentes_caixa,ativo_total,divida_curto_prazo,divida_longo_razo,divida_bruta,divida_liquida,patrimonio_liquido,valor_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,total_acoes,tic
0,31/03/2024,12840.0,133820.0,1650.0,2170.0,3820.0,-  9.03 B,86590.0,5.50,15.757.657.000,0,15.757.657.000,ABEV3
1,31/12/2023,16059.999999999998,132640.0,1300.0,2200.0,3500.0,-  12.56 B,78970.0,5.01,15.753.833.000,0,15.753.833.000,ABEV3
2,30/09/2023,17410.0,137910.0,1240.0,2480.0,3720.0,-  13.70 B,90250.0,5.73,15.753.833.000,0,15.753.833.000,ABEV3
3,30/06/2023,12120.0,133290.0,1320.0,2670.0,3990.0,-  8.12 B,85070.0,5.40,15.753.833.000,0,15.753.833.000,ABEV3
4,31/03/2023,12210.0,135470.0,1140.0,2650.0,3790.0,-  8.42 B,85000.0,5.40,15.753.833.000,0,15.753.833.000,ABEV3
5,31/12/2022,14930.0,137960.0,982.57,2790.0,3770.0,-  11.16 B,81960.0,5.20,15.750.217.000,0,15.750.217.000,ABEV3
6,30/09/2022,17710.0,142060.0,761.51,2220.0,2980.0,-  14.73 B,90180.0,5.73,15.750.217.000,0,15.750.217.000,ABEV3
7,30/06/2022,14130.0,136630.0,894.36,2300.0,3200.0,-  10.93 B,86260.0,5.48,15.750.217.000,0,15.750.217.000,ABEV3
8,31/03/2022,12890.0,127400.0,815.86,2170.0,2990.0,-  9.90 B,78920.0,5.01,15.750.217.000,0,15.750.217.000,ABEV3
9,31/12/2021,16630.0,138600.0,847.12,2250.0,3100.0,-  13.53 B,82640.0,5.25,15.744.452.000,0,15.744.452.000,ABEV3
10,30/09/2021,17960.0,135130.0,889.26,2140.0,3030.0,-  14.93 B,86770.0,5.51,15.741.455.000,0,15.741.455.000,ABEV3
11,30/06/2021,13270.0,124440.0,854.76,2140.0,2990.0,-  10.28 B,78890.0,5.01,15.741.455.000,0,15.741.455.000,ABEV3
12,31/03/2021,17290.0,133420.0,2600.0,2430.0,5030.0,-  12.26 B,82040.0,5.21,15.739.243.000,0,15.739.243.000,ABEV3
13,31/12/2020,17090.0,125200.0,2740.0,2050.0,4790.0,-  12.30 B,73820.0,4.69,15.735.118.000,0,15.735.118.000,ABEV3
14,30/09/2020,21660.0,127060.0,4320.0,2540.0,6860.0,-  14.81 B,78010.0,4.96,15.735.118.000,0,15.735.118.000,ABEV3
15,30/06/2020,17440.0,121390.0,4120.0,2660.0,6780.0,-  10.66 B,73920.0,4.70,15.735.118.000,0,15.735.118.000,ABEV3
16,31/03/2020,13200.0,113690.0,780.09,2690.0,3470.0,-  9.73 B,70360.0,4.47,15.735.118.000,0,15.735.118.000,ABEV3
17,31/12/2019,11900.0,101740.0,653.15,2410.0,3060.0,-  8.84 B,61280.0,3.89,15.733.575.000,0,15.733.575.000,ABEV3
